City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,los llanos de aridane,28.66,-17.92,80.6,57,20,9.17,ES,1600517991
122,paraiso,9.84,-83.87,64.4,100,80,5.82,CR,1600517718
123,petropavlovsk-kamchatskiy,53.05,158.65,46.4,93,75,6.71,RU,1600517991
124,dikson,73.51,80.55,41.86,97,94,11.05,RU,1600517991
125,hasaki,35.73,140.83,73.4,83,75,10.29,JP,1600517992
126,ribeira grande,38.52,-28.7,73.4,73,20,18.34,PT,1600517992
127,saint-philippe,-21.36,55.77,77.0,53,27,12.75,RE,1600517992
128,saldanha,-33.01,17.94,66.2,52,0,12.75,ZA,1600517992
129,oktyabrskiy,54.48,53.47,55.42,60,100,11.81,RU,1600517992
130,portland,45.52,-122.68,59.0,93,41,2.59,US,1600517855
131,salinas,36.68,-121.66,57.99,100,90,4.7,US,1600517765
132,saint-augustin,51.23,-58.65,43.5,59,1,12.12,CA,1600517992
133,debica,50.05,21.41,64.4,48,78,4.7,PL,1600517992
134,sabaudia,41.3,13.03,87.01,45,54,1.99,IT,1600517993
135,hofn,64.25,-15.21,50.18,67,64,30.71,IS,1600517993
136,clyde river,70.47,-68.59,30.2,80,90,4.7,CA,1600517993
137,barrow,71.29,-156.79,33.33,96,100,12.73,US,1600517993
138,ancud,-41.87,-73.82,42.01,85,0,5.68,CL,1600517993
139,hamilton,39.18,-84.53,46.0,87,1,4.7,US,1600517903
140,guerrero negro,27.98,-114.06,74.66,63,0,2.17,MX,1600517994
141,kavieng,-2.57,150.8,82.2,74,77,7.52,PG,1600517994
142,vostok,46.49,135.88,45.27,100,58,1.41,RU,1600517994
143,saskylakh,71.92,114.08,51.15,65,0,12.26,RU,1600517994
144,channel-port aux basques,47.57,-59.14,51.71,64,57,11.63,CA,1600517994
145,kpandu,7.0,0.29,75.63,88,100,5.14,GH,1600517994
146,hoquiam,46.98,-123.89,60.01,87,90,5.39,US,1600517994
147,bobrovytsya,50.75,31.38,69.01,37,13,4.47,UA,1600517995
148,coahuayana,18.73,-103.68,76.19,89,100,3.6,MX,1600517995
149,cape town,-33.93,18.42,68.0,55,18,9.17,ZA,1600517700
150,chifeng,42.27,118.96,55.2,50,0,6.15,CN,1600517995
151,lagoa,39.05,-27.98,70.29,77,28,23.09,PT,1600517995
152,cherskiy,68.75,161.3,31.14,95,8,7.25,RU,1600517995
153,atambua,-9.11,124.89,74.44,86,78,3.06,ID,1600517995
154,sakakah,29.97,40.21,105.8,9,0,5.82,SA,1600517996
155,olafsvik,64.89,-23.71,47.08,76,98,38.54,IS,1600517996
156,villacarrillo,38.12,-3.08,73.99,53,13,10.13,ES,1600517996
157,tuatapere,-46.13,167.68,46.0,88,17,3.0,NZ,1600517996
158,ouallam,14.32,2.09,99.41,29,18,14.65,NE,1600517996
159,olinda,-8.01,-34.86,80.6,69,40,8.05,BR,1600517747
160,luderitz,-26.65,15.16,67.71,55,0,24.18,NA,1600517996
161,buin,-33.73,-70.75,61.0,81,0,3.36,CL,1600517996
162,canavieiras,-15.68,-38.95,78.48,67,40,4.97,BR,1600517996
163,tongzi,28.78,105.09,73.94,75,63,4.92,CN,1600517997
164,hovd,48.01,91.64,54.81,40,1,3.0,MN,1600517723
165,aklavik,68.22,-135.01,41.0,80,40,6.31,CA,1600517997
166,norman wells,65.28,-126.83,48.2,87,75,5.82,CA,1600517997
167,verkhoyansk,67.54,133.38,44.94,70,1,1.21,RU,1600517997
168,te anau,-45.42,167.72,38.34,87,7,0.22,NZ,1600517997
169,hami,42.8,93.45,69.26,23,76,20.74,CN,1600517997
170,flin flon,54.77,-101.86,48.2,87,5,5.82,CA,1600517704
171,sorong,-0.88,131.25,82.2,78,81,9.15,ID,1600517965
172,nhulunbuy,-12.23,136.77,77.0,94,40,8.05,AU,1600517998
173,zhanaozen,43.3,52.8,78.66,17,32,11.18,KZ,1600517998
174,bethel,41.37,-73.41,46.0,58,1,4.7,US,1600517998
175,pevek,69.7,170.31,33.4,93,97,11.01,RU,1600517998
176,beringovskiy,63.05,179.32,39.79,70,24,6.98,RU,1600517998
177,sirnak,37.52,42.46,96.8,12,20,5.82,TR,1600517998
178,pedernales,18.04,-71.74,77.0,94,20,1.12,DO,1600517998
179,bengkulu,-3.8,102.27,80.46,81,76,10.45,ID,1600517730
